Sample ID,Pressure (PSI),Welding Time (ms),Angle (Deg),Force (N),Current (A),Thickness A (mm),Thickness B (mm),Material,PullTest (N),NuggetDiameter (mm),Category,Comments
3,95,1500,0,84.97,1162.71,0.944,0.927,SS,4293.8,4.43,Good,DOE
3,95,1500,0,89.8,1226.07,0.944,0.927,SS,4293.8,4.43,Good,DOE
3,95,1500,0,94.61,1190.49,0.944,0.927,SS,4293.8,4.43,Good,DOE
3,95,1500,0,99.44,1175.95,0.944,0.927,SS,4293.8,4.43,Good,DOE
3,95,1500,0,104.24,1161.23,0.944,0.927,SS,4293.8,4.43,Good,DOE
3,95,1500,0,109.03,1246.94,0.944,0.927,SS,4293.8,4.43,Good,DOE
3,95,1500,0,113.81,1200.56,0.944,0.927,SS,4293.8,4.43,Good,DOE
3,95,1500,0,118.6,1138.8,0.944,0.927,SS,4293.8,4.43,Good,DOE
3,95,1500,0,123.36,1063.83,0.944,0.927,SS,4293.8,4.43,Good,DOE
4,95,200,0,0,1427.04,0.912,0.924,SS,2350.4,2.76,Bad,DOE
4,95,200,0,8.29,1501.05,0.912,0.924,SS,2350.4,2.76,Bad,DOE
4,95,200,0,16.57,1321.93,0.912,0.924,SS,2350.4,2.76,Bad,DOE
5,95,200,0,24.85,1268.82,0.948,0.939,SS,2174.8,2.57,Bad,DOE
5,95,200,0,33.14,1538.4,0.948,0.939,SS,2174.8,2.57,Bad,DOE
5,95,200,0,41.42,1615.83,0.948,0.939,SS,2174.8,2.57,Bad,DOE
6,95,1500,0,0,1213.38,0.918,0.925,SS,4161.4,4.35,Good,DOE
6,95,1500,0,8.29,1230.27,0.918,0.925,SS,4161.4,4.35,Good,DOE
6,95,1500,0,16.57,1217.63,0.918,0.925,SS,4161.4,4.35,Good,DOE
6,95,1500,0,24.85,1111.28,0.918,0.925,SS,4161.4,4.35,Good,DOE
6,95,1500,0,33.15,1126.65,0.918,0.925,SS,4161.4,4.35,Good,DOE
6,95,1500,0,41.45,1162.71,0.918,0.925,SS,4161.4,4.35,Good,DOE
6,95,1500,0,49.75,1135.77,0.918,0.925,SS,4161.4,4.35,Good,DOE
6,95,1500,0,58.03,1030.99,0.918,0.925,SS,4161.4,4.35,Good,DOE
6,95,1500,0,66.32,981.42,0.918,0.925,SS,4161.4,4.35,Good,DOE
6,95,1500,0,74.6,1017.56,0.918,0.925,SS,4161.4,4.35,Good,DOE
6,95,1500,0,82.88,1054.09,0.918,0.925,SS,4161.4,4.35,Good,DOE
6,95,1500,0,91.15,998.79,0.918,0.925,SS,4161.4,4.35,Good,DOE
6,95,1500,0,99.41,976.15,0.918,0.925,SS,4161.4,4.35,Good,DOE
6,95,1500,0,107.67,1010.77,0.918,0.925,SS,4161.4,4.35,Good,DOE
6,95,1500,0,115.93,1052.45,0.918,0.925,SS,4161.4,4.35,Good,DOE
6,95,1500,0,124.19,1045.9,0.918,0.925,SS,4161.4,4.35,Good,DOE
7,35,1500,0,127.46,940.25,0.93,0.937,SS,3897.5,4.72,Good,DOE
7,35,1500,0,127.46,1049.18,0.93,0.937,SS,3897.5,4.72,Good,DOE
7,35,1500,0,122.45,873.88,0.93,0.937,SS,3897.5,4.72,Good,DOE
7,35,1500,0,117.51,871.91,0.93,0.937,SS,3897.5,4.72,Good,DOE
7,35,1500,0,112.61,949.35,0.93,0.937,SS,3897.5,4.72,Good,DOE
7,35,1500,0,107.72,990.14,0.93,0.937,SS,3897.5,4.72,Good,DOE
7,35,1500,0,102.81,1009.07,0.93,0.937,SS,3897.5,4.72,Good,DOE
7,35,1500,0,97.92,1095.69,0.93,0.937,SS,3897.5,4.72,Good,DOE
7,35,1500,0,93.01,1076.69,0.93,0.937,SS,3897.5,4.72,Good,DOE
7,35,1500,0,88.11,1090.97,0.93,0.937,SS,3897.5,4.72,Good,DOE
7,35,1500,0,83.24,1143.32,0.93,0.937,SS,3897.5,4.72,Good,DOE
7,35,1500,0,78.38,1045.9,0.93,0.937,SS,3897.5,4.72,Good,DOE
7,35,1500,0,73.51,1103.51,0.93,0.937,SS,3897.5,4.72,Good,DOE
7,35,1500,0,68.66,1150.82,0.93,0.937,SS,3897.5,4.72,Good,DOE
7,35,1500,0,63.82,1137.29,0.93,0.937,SS,3897.5,4.72,Good,DOE
8,35,200,0,0,1270.17,0.931,0.922,SS,1836.4,2.64,Bad,DOE
8,35,200,0,3.29,1180.33,0.931,0.922,SS,1836.4,2.64,Bad,DOE
8,35,200,0,6.58,1171.55,0.931,0.922,SS,1836.4,2.64,Bad,DOE
9,35,200,0,9.88,1120.53,0.932,0.928,SS,1932.5,2.43,Bad,DOE
9,35,200,0,13.17,1141.81,0.932,0.928,SS,1932.5,2.43,Bad,DOE
9,35,200,0,16.47,1083.06,0.932,0.928,SS,1932.5,2.43,Bad,DOE
10,35,1500,0,0,1175.95,0.933,0.929,SS,4174.4,3.77,Good,DOE
10,35,1500,0,3.27,1223.26,0.933,0.929,SS,4174.4,3.77,Good,DOE
10,35,1500,0,6.55,1221.86,0.933,0.929,SS,4174.4,3.77,Good,DOE
10,35,1500,0,9.83,1106.63,0.933,0.929,SS,4174.4,3.77,Good,DOE
10,35,1500,0,13.14,1079.88,0.933,0.929,SS,4174.4,3.77,Good,DOE
10,35,1500,0,16.51,1106.63,0.933,0.929,SS,4174.4,3.77,Good,DOE
10,35,1500,0,19.89,1118.99,0.933,0.929,SS,4174.4,3.77,Good,DOE
10,35,1500,0,23.27,1190.49,0.933,0.929,SS,4174.4,3.77,Good,DOE
10,35,1500,0,26.65,1190.49,0.933,0.929,SS,4174.4,3.77,Good,DOE
10,35,1500,0,30.05,912.4,0.933,0.929,SS,4174.4,3.77,Good,DOE
10,35,1500,0,33.46,914.28,0.933,0.929,SS,4174.4,3.77,Good,DOE
10,35,1500,0,36.87,923.64,0.933,0.929,SS,4174.4,3.77,Good,DOE
10,35,1500,0,40.3,945.72,0.933,0.929,SS,4174.4,3.77,Good,DOE
10,35,1500,0,43.73,891.42,0.933,0.929,SS,4174.4,3.77,Good,DOE
10,35,1500,0,47.17,859.99,0.933,0.929,SS,4174.4,3.77,Good,DOE
10,35,1500,0,50.62,901.01,0.933,0.929,SS,4174.4,3.77,Good,DOE
11,95,1500,0,54.07,1094.12,0.937,0.927,SS,3816,3.3,Good,DOE
11,95,1500,0,59.21,1007.36,0.937,0.927,SS,3816,3.3,Good,DOE
11,95,1500,0,64.33,1015.87,0.937,0.927,SS,3816,3.3,Good,DOE
11,95,1500,0,69.44,1039.3,0.937,0.927,SS,3816,3.3,Good,DOE
11,95,1500,0,74.53,1086.23,0.937,0.927,SS,3816,3.3,Good,DOE
11,95,1500,0,79.57,1123.59,0.937,0.927,SS,3816,3.3,Good,DOE
11,95,1500,0,84.59,1086.23,0.937,0.927,SS,3816,3.3,Good,DOE
11,95,1500,0,89.59,1068.67,0.937,0.927,SS,3816,3.3,Good,DOE
11,95,1500,0,94.58,1115.91,0.937,0.927,SS,3816,3.3,Good,DOE
11,95,1500,0,99.56,1141.81,0.937,0.927,SS,3816,3.3,Good,DOE
11,95,1500,0,104.52,1109.73,0.937,0.927,SS,3816,3.3,Good,DOE
11,95,1500,0,109.47,1097.26,0.937,0.927,SS,3816,3.3,Good,DOE
11,95,1500,0,114.41,1140.31,0.937,0.927,SS,3816,3.3,Good,DOE
11,95,1500,0,119.33,1190.49,0.937,0.927,SS,3816,3.3,Good,DOE
11,95,1500,0,124.23,1147.82,0.937,0.927,SS,3816,3.3,Good,DOE
11,95,1500,0,129.13,1112.82,0.937,0.927,SS,3816,3.3,Good,DOE
12,95,200,0,0,1187.59,0.929,0.915,SS,1832.5,2.91,Bad,DOE
12,95,200,0,8.28,1260.66,0.929,0.915,SS,1832.5,2.91,Bad,DOE
12,95,200,0,16.55,1357.87,0.929,0.915,SS,1832.5,2.91,Bad,DOE
13,95,200,0,24.85,1263.38,0.92,0.928,SS,2255.3,2.89,Bad,DOE
13,95,200,0,33.2,1296.97,0.92,0.928,SS,2255.3,2.89,Bad,DOE
13,95,200,0,41.54,1272.88,0.92,0.928,SS,2255.3,2.89,Bad,DOE
14,95,1500,0,0,812.69,0.925,0.93,SS,3970.1,3.94,Good,DOE
14,95,1500,0,8.36,863.98,0.925,0.93,SS,3970.1,3.94,Good,DOE
14,95,1500,0,16.7,1030.99,0.925,0.93,SS,3970.1,3.94,Good,DOE
14,95,1500,0,25.01,1039.3,0.925,0.93,SS,3970.1,3.94,Good,DOE
14,95,1500,0,33.33,997.07,0.925,0.93,SS,3970.1,3.94,Good,DOE
14,95,1500,0,41.63,1003.94,0.925,0.93,SS,3970.1,3.94,Good,DOE
14,95,1500,0,49.92,1101.95,0.925,0.93,SS,3970.1,3.94,Good,DOE
14,95,1500,0,58.22,1138.8,0.925,0.93,SS,3970.1,3.94,Good,DOE
14,95,1500,0,66.5,1128.18,0.925,0.93,SS,3970.1,3.94,Good,DOE
14,95,1500,0,74.76,1097.26,0.925,0.93,SS,3970.1,3.94,Good,DOE
14,95,1500,0,83.02,1094.12,0.925,0.93,SS,3970.1,3.94,Good,DOE
14,95,1500,0,91.26,1140.31,0.925,0.93,SS,3970.1,3.94,Good,DOE
14,95,1500,0,99.49,1128.18,0.925,0.93,SS,3970.1,3.94,Good,DOE
14,95,1500,0,107.72,1040.95,0.925,0.93,SS,3970.1,3.94,Good,DOE
14,95,1500,0,115.94,1055.72,0.925,0.93,SS,3970.1,3.94,Good,DOE
14,95,1500,0,124.16,1078.29,0.925,0.93,SS,3970.1,3.94,Good,DOE
15,35,1500,0,0,829.45,0.931,0.938,SS,5634.8,4.55,Good,DOE
15,35,1500,0,3.3,1112.82,0.931,0.938,SS,5634.8,4.55,Good,DOE
15,35,1500,0,6.6,1210.54,0.931,0.938,SS,5634.8,4.55,Good,DOE
15,35,1500,0,9.91,1128.18,0.931,0.938,SS,5634.8,4.55,Good,DOE
15,35,1500,0,13.22,1087.81,0.931,0.938,SS,5634.8,4.55,Good,DOE
15,35,1500,0,16.55,1194.81,0.931,0.938,SS,5634.8,4.55,Good,DOE
15,35,1500,0,19.89,1323.23,0.931,0.938,SS,5634.8,4.55,Good,DOE
15,35,1500,0,23.23,1266.1,0.931,0.938,SS,5634.8,4.55,Good,DOE
15,35,1500,0,26.57,1175.95,0.931,0.938,SS,5634.8,4.55,Good,DOE
15,35,1500,0,29.9,1167.14,0.931,0.938,SS,5634.8,4.55,Good,DOE
15,35,1500,0,33.24,1306.22,0.931,0.938,SS,5634.8,4.55,Good,DOE
15,35,1500,0,36.58,1374.24,0.931,0.938,SS,5634.8,4.55,Good,DOE
15,35,1500,0,39.91,1235.85,0.931,0.938,SS,5634.8,4.55,Good,DOE
15,35,1500,0,43.25,1047.54,0.931,0.938,SS,5634.8,4.55,Good,DOE
15,35,1500,0,46.58,1123.59,0.931,0.938,SS,5634.8,4.55,Good,DOE
16,35,200,0,0,741.88,0.936,0.927,SS,2509.8,2.78,Bad,DOE
16,35,200,0,3.31,949.35,0.936,0.927,SS,2509.8,2.78,Bad,DOE
16,35,200,0,6.61,916.16,0.936,0.927,SS,2509.8,2.78,Bad,DOE
17,95,200,15,0,1982.89,1.057,0.936,SS,2685.9,2.63,Bad,DOE
17,95,200,15,3.34,1972.45,1.057,0.936,SS,2685.9,2.63,Bad,DOE
17,95,200,15,6.67,1840.75,1.057,0.936,SS,2685.9,2.63,Bad,DOE
18,95,200,15,53.89,2173.26,0.929,0.925,SS,2334.7,2.96,Bad,DOE
18,95,200,15,53.94,2314.3,0.929,0.925,SS,2334.7,2.96,Bad,DOE
18,95,200,15,53.95,2323.94,0.929,0.925,SS,2334.7,2.96,Bad,DOE
19,95,1500,15,0,1872.25,0.953,0.936,SS,5806.5,4.47,Good,DOE
19,95,1500,15,8.3,1789.58,0.953,0.936,SS,5806.5,4.47,Good,DOE
19,95,1500,15,16.6,1728.96,0.953,0.936,SS,5806.5,4.47,Good,DOE
19,95,1500,15,24.87,1679.51,0.953,0.936,SS,5806.5,4.47,Good,DOE
19,95,1500,15,33.14,1724.98,0.953,0.936,SS,5806.5,4.47,Good,DOE
19,95,1500,15,41.4,1552.87,0.953,0.936,SS,5806.5,4.47,Good,DOE
19,95,1500,15,49.66,1605.15,0.953,0.936,SS,5806.5,4.47,Good,DOE
19,95,1500,15,57.93,1671.3,0.953,0.936,SS,5806.5,4.47,Good,DOE
19,95,1500,15,66.19,1585.75,0.953,0.936,SS,5806.5,4.47,Good,DOE
19,95,1500,15,74.44,1522.67,0.953,0.936,SS,5806.5,4.47,Good,DOE
19,95,1500,15,82.7,1562.81,0.953,0.936,SS,5806.5,4.47,Good,DOE
19,95,1500,15,90.95,1573.77,0.953,0.936,SS,5806.5,4.47,Good,DOE
19,95,1500,15,99.2,1565,0.953,0.936,SS,5806.5,4.47,Good,DOE
19,95,1500,15,107.45,1495.31,0.953,0.936,SS,5806.5,4.47,Good,DOE
19,95,1500,15,115.69,1477.96,0.953,0.936,SS,5806.5,4.47,Good,DOE
20,95,1500,15,124,1681.56,0.933,1.01,SS,5002.1,4.07,Explode,DOE
20,95,1500,15,132.31,1680.53,0.933,1.01,SS,5002.1,4.07,Explode,DOE
20,95,1500,15,132.37,1520.41,0.933,1.01,SS,5002.1,4.07,Explode,DOE
20,95,1500,15,132.36,1570.49,0.933,1.01,SS,5002.1,4.07,Explode,DOE
20,95,1500,15,132.34,1501.05,0.933,1.01,SS,5002.1,4.07,Explode,DOE
20,95,1500,15,132.33,1537.28,0.933,1.01,SS,5002.1,4.07,Explode,DOE
20,95,1500,15,132.33,1509.05,0.933,1.01,SS,5002.1,4.07,Explode,DOE
20,95,1500,15,132.32,1425.84,0.933,1.01,SS,5002.1,4.07,Explode,DOE
20,95,1500,15,132.32,1445.01,0.933,1.01,SS,5002.1,4.07,Explode,DOE
20,95,1500,15,132.34,1455.68,0.933,1.01,SS,5002.1,4.07,Explode,DOE
20,95,1500,15,132.34,1491.86,0.933,1.01,SS,5002.1,4.07,Explode,DOE
20,95,1500,15,132.34,1454.5,0.933,1.01,SS,5002.1,4.07,Explode,DOE
20,95,1500,15,132.35,1356.6,0.933,1.01,SS,5002.1,4.07,Explode,DOE
20,95,1500,15,132.35,1402.73,0.933,1.01,SS,5002.1,4.07,Explode,DOE
20,95,1500,15,132.35,1454.5,0.933,1.01,SS,5002.1,4.07,Explode,DOE
21,35,1500,15,132.35,1503.34,0.939,0.932,SS,4643,3.7,Explode,DOE
21,35,1500,15,127.39,1472.13,0.939,0.932,SS,4643,3.7,Explode,DOE
21,35,1500,15,122.44,1423.42,0.939,0.932,SS,4643,3.7,Explode,DOE
21,35,1500,15,117.44,1469.79,0.939,0.932,SS,4643,3.7,Explode,DOE
21,35,1500,15,112.46,1477.96,0.939,0.932,SS,4643,3.7,Explode,DOE
21,35,1500,15,107.5,1481.45,0.939,0.932,SS,4643,3.7,Explode,DOE
21,35,1500,15,102.54,1528.31,0.939,0.932,SS,4643,3.7,Explode,DOE
21,35,1500,15,97.58,1495.31,0.939,0.932,SS,4643,3.7,Explode,DOE
21,35,1500,15,92.63,1501.05,0.939,0.932,SS,4643,3.7,Explode,DOE
21,35,1500,15,87.69,1486.08,0.939,0.932,SS,4643,3.7,Explode,DOE
21,35,1500,15,82.77,1387.94,0.939,0.932,SS,4643,3.7,Explode,DOE
21,35,1500,15,77.84,1434.25,0.939,0.932,SS,4643,3.7,Explode,DOE
21,35,1500,15,72.9,1465.1,0.939,0.932,SS,4643,3.7,Explode,DOE
21,35,1500,15,67.96,1491.86,0.939,0.932,SS,4643,3.7,Explode,DOE
21,35,1500,15,63.02,1386.7,0.939,0.932,SS,4643,3.7,Explode,DOE
22,35,1500,15,58.13,1518.14,0.93,0.946,SS,4952,3.78,Explode,DOE
22,35,1500,15,53.25,1480.28,0.93,0.946,SS,4952,3.78,Explode,DOE
22,35,1500,15,53.25,1424.63,0.93,0.946,SS,4952,3.78,Explode,DOE
22,35,1500,15,53.33,1416.15,0.93,0.946,SS,4952,3.78,Explode,DOE
22,35,1500,15,53.4,1435.45,0.93,0.946,SS,4952,3.78,Explode,DOE
22,35,1500,15,53.48,1476.8,0.93,0.946,SS,4952,3.78,Explode,DOE
22,35,1500,15,53.55,1482.61,0.93,0.946,SS,4952,3.78,Explode,DOE
22,35,1500,15,53.62,1474.46,0.93,0.946,SS,4952,3.78,Explode,DOE
22,35,1500,15,53.68,1583.58,0.93,0.946,SS,4952,3.78,Explode,DOE
22,35,1500,15,53.75,1489.55,0.93,0.946,SS,4952,3.78,Explode,DOE
22,35,1500,15,53.82,1452.13,0.93,0.946,SS,4952,3.78,Explode,DOE
22,35,1500,15,53.89,1480.28,0.93,0.946,SS,4952,3.78,Explode,DOE
22,35,1500,15,53.95,1456.86,0.93,0.946,SS,4952,3.78,Explode,DOE
22,35,1500,15,54,1495.31,0.93,0.946,SS,4952,3.78,Explode,DOE
22,35,1500,15,54.05,1499.91,0.93,0.946,SS,4952,3.78,Explode,DOE
22,35,1500,15,54.11,1440.24,0.93,0.946,SS,4952,3.78,Explode,DOE
23,35,200,15,0,1022.62,0.933,0.935,SS,2710.5,2.68,Bad,DOE
23,35,200,15,3.37,963.73,0.933,0.935,SS,2710.5,2.68,Bad,DOE
23,35,200,15,6.74,977.91,0.933,0.935,SS,2710.5,2.68,Bad,DOE
24,35,200,15,10.11,1320.63,0.938,0.925,SS,2522.1,2.6,Bad,DOE
24,35,200,15,13.52,1209.12,0.938,0.925,SS,2522.1,2.6,Bad,DOE
24,35,200,15,16.93,1178.87,0.938,0.925,SS,2522.1,2.6,Bad,DOE
25,35,200,15,20.35,1253.82,0.933,0.927,SS,2867.4,2.5,Bad,DOE
25,35,200,15,23.77,1257.92,0.933,0.927,SS,2867.4,2.5,Bad,DOE
25,35,200,15,27.19,1191.93,0.933,0.927,SS,2867.4,2.5,Bad,DOE
26,35,200,15,30.61,1257.92,0.928,0.933,SS,2144.9,2.68,Bad,DOE
26,35,200,15,34.03,1402.73,0.928,0.933,SS,2144.9,2.68,Bad,DOE
26,35,200,15,37.45,1381.73,0.928,0.933,SS,2144.9,2.68,Bad,DOE
27,35,1500,15,0,1405.18,0.936,0.953,SS,5339.5,3.92,Good,DOE
27,35,1500,15,3.41,1456.86,0.936,0.953,SS,5339.5,3.92,Good,DOE
27,35,1500,15,6.82,1400.27,0.936,0.953,SS,5339.5,3.92,Good,DOE
27,35,1500,15,10.23,1375.49,0.936,0.953,SS,5339.5,3.92,Good,DOE
27,35,1500,15,13.66,1275.58,0.936,0.953,SS,5339.5,3.92,Good,DOE
27,35,1500,15,17.1,1213.38,0.936,0.953,SS,5339.5,3.92,Good,DOE
27,35,1500,15,20.54,1249.69,0.936,0.953,SS,5339.5,3.92,Good,DOE
27,35,1500,15,23.99,1180.33,0.936,0.953,SS,5339.5,3.92,Good,DOE
27,35,1500,15,27.44,1149.32,0.936,0.953,SS,5339.5,3.92,Good,DOE
27,35,1500,15,30.89,1144.82,0.936,0.953,SS,5339.5,3.92,Good,DOE
27,35,1500,15,34.33,1158.26,0.936,0.953,SS,5339.5,3.92,Good,DOE
27,35,1500,15,37.77,1181.79,0.936,0.953,SS,5339.5,3.92,Good,DOE
27,35,1500,15,41.21,1068.67,0.936,0.953,SS,5339.5,3.92,Good,DOE
27,35,1500,15,44.64,1063.83,0.936,0.953,SS,5339.5,3.92,Good,DOE
27,35,1500,15,48.08,1097.26,0.936,0.953,SS,5339.5,3.92,Good,DOE
28,35,1500,15,51.5,1118.99,0.939,0.93,SS,3855.5,2.73,Explode,DOE
28,35,1500,15,54.91,1186.14,0.939,0.93,SS,3855.5,2.73,Explode,DOE
28,35,1500,15,54.91,1170.08,0.939,0.93,SS,3855.5,2.73,Explode,DOE
28,35,1500,15,54.93,1171.55,0.939,0.93,SS,3855.5,2.73,Explode,DOE
28,35,1500,15,54.97,1187.59,0.939,0.93,SS,3855.5,2.73,Explode,DOE
28,35,1500,15,55.01,1231.67,0.939,0.93,SS,3855.5,2.73,Explode,DOE
28,35,1500,15,55.03,1219.04,0.939,0.93,SS,3855.5,2.73,Explode,DOE
28,35,1500,15,55.05,1241.41,0.939,0.93,SS,3855.5,2.73,Explode,DOE
28,35,1500,15,55.05,1270.17,0.939,0.93,SS,3855.5,2.73,Explode,DOE
28,35,1500,15,55.05,1279.61,0.939,0.93,SS,3855.5,2.73,Explode,DOE
28,35,1500,15,55.04,1204.85,0.939,0.93,SS,3855.5,2.73,Explode,DOE
28,35,1500,15,55.04,1167.14,0.939,0.93,SS,3855.5,2.73,Explode,DOE
28,35,1500,15,55.03,1199.12,0.939,0.93,SS,3855.5,2.73,Explode,DOE
28,35,1500,15,55.03,1228.88,0.939,0.93,SS,3855.5,2.73,Explode,DOE
28,35,1500,15,55.03,1168.61,0.939,0.93,SS,3855.5,2.73,Explode,DOE
29,95,1500,15,55.05,1275.58,0.947,0.957,SS,5158.6,3.7,Explode,DOE
29,95,1500,15,59.92,1287.65,0.947,0.957,SS,5158.6,3.7,Explode,DOE
29,95,1500,15,64.8,1224.67,0.947,0.957,SS,5158.6,3.7,Explode,DOE
29,95,1500,15,69.69,1248.32,0.947,0.957,SS,5158.6,3.7,Explode,DOE
29,95,1500,15,74.57,1292.99,0.947,0.957,SS,5158.6,3.7,Explode,DOE
29,95,1500,15,79.4,1276.92,0.947,0.957,SS,5158.6,3.7,Explode,DOE
29,95,1500,15,84.2,1257.92,0.947,0.957,SS,5158.6,3.7,Explode,DOE
29,95,1500,15,88.98,1295.64,0.947,0.957,SS,5158.6,3.7,Explode,DOE
29,95,1500,15,93.74,1361.66,0.947,0.957,SS,5158.6,3.7,Explode,DOE
29,95,1500,15,98.52,1345.14,0.947,0.957,SS,5158.6,3.7,Explode,DOE
29,95,1500,15,103.31,1207.7,0.947,0.957,SS,5158.6,3.7,Explode,DOE
29,95,1500,15,108.1,1203.42,0.947,0.957,SS,5158.6,3.7,Explode,DOE
29,95,1500,15,112.89,1231.67,0.947,0.957,SS,5158.6,3.7,Explode,DOE
29,95,1500,15,117.68,1271.52,0.947,0.957,SS,5158.6,3.7,Explode,DOE
29,95,1500,15,122.48,1252.44,0.947,0.957,SS,5158.6,3.7,Explode,DOE
30,95,1500,15,127.36,1494.16,0.949,0.994,SS,5277.7,3.91,Good,DOE
30,95,1500,15,132.27,1342.58,0.949,0.994,SS,5277.7,3.91,Good,DOE
30,95,1500,15,132.4,1278.27,0.949,0.994,SS,5277.7,3.91,Good,DOE
30,95,1500,15,132.43,1283.64,0.949,0.994,SS,5277.7,3.91,Good,DOE
30,95,1500,15,132.49,1329.71,0.949,0.994,SS,5277.7,3.91,Good,DOE
30,95,1500,15,132.53,1331,0.949,0.994,SS,5277.7,3.91,Good,DOE
30,95,1500,15,132.54,1292.99,0.949,0.994,SS,5277.7,3.91,Good,DOE
30,95,1500,15,132.62,1300.94,0.949,0.994,SS,5277.7,3.91,Good,DOE
30,95,1500,15,132.74,1327.12,0.949,0.994,SS,5277.7,3.91,Good,DOE
30,95,1500,15,132.88,1372.99,0.949,0.994,SS,5277.7,3.91,Good,DOE
30,95,1500,15,133.02,1338.73,0.949,0.994,SS,5277.7,3.91,Good,DOE
30,95,1500,15,133.18,1302.26,0.949,0.994,SS,5277.7,3.91,Good,DOE
30,95,1500,15,133.34,1318.02,0.949,0.994,SS,5277.7,3.91,Good,DOE
30,95,1500,15,133.45,1352.79,0.949,0.994,SS,5277.7,3.91,Good,DOE
30,95,1500,15,133.53,1304.9,0.949,0.994,SS,5277.7,3.91,Good,DOE
31,95,200,15,0,1032.66,0.946,0.939,SS,2667.3,2.81,Bad,DOE
31,95,200,15,8.31,1075.09,0.946,0.939,SS,2667.3,2.81,Bad,DOE
32,95,200,15,16.64,995.34,0.94,0.945,SS,2764.4,2.9,Bad,DOE
32,95,200,15,24.95,1025.97,0.94,0.945,SS,2764.4,2.9,Bad,DOE
32,95,200,15,33.27,1025.97,0.94,0.945,SS,2764.4,2.9,Bad,DOE
33,95,200,15,0,1675.41,0.927,0.924,SS,2132.9,2.55,Bad,DOE
33,95,200,15,8.25,1985.49,0.927,0.924,SS,2132.9,2.55,Bad,DOE
33,95,200,15,16.51,2119.57,0.927,0.924,SS,2132.9,2.55,Bad,DOE
34,60,1000,0,77.57,1331,0.656,0.656,SS,3281.1,4.63,Good,
34,60,1000,0,77.53,2575.31,0.656,0.656,SS,3281.1,4.63,Good,
34,60,1000,0,77.5,2754.1,0.656,0.656,SS,3281.1,4.63,Good,
34,60,1000,0,77.47,3081.27,0.656,0.656,SS,3281.1,4.63,Good,
34,60,1000,0,77.44,2953.59,0.656,0.656,SS,3281.1,4.63,Good,
34,60,1000,0,77.42,3114.59,0.656,0.656,SS,3281.1,4.63,Good,
34,60,1000,0,77.41,2940.17,0.656,0.656,SS,3281.1,4.63,Good,
34,60,1000,0,77.39,3281.84,0.656,0.656,SS,3281.1,4.63,Good,
34,60,1000,0,77.36,3022.66,0.656,0.656,SS,3281.1,4.63,Good,
34,60,1000,0,77.33,3211.91,0.656,0.656,SS,3281.1,4.63,Good,
35,60,1000,0,77.25,1314.1,0.629,0.632,SS,3215,4.48,Good,
35,60,1000,0,77.17,2134.12,0.629,0.632,SS,3215,4.48,Good,
35,60,1000,0,77.11,2717.01,0.629,0.632,SS,3215,4.48,Good,
35,60,1000,0,77.05,2872.1,0.629,0.632,SS,3215,4.48,Good,
